period,export_destination,total_exports,crude_oil_exports,non_crude_oil_exports,period.1,import_origin,total_imports
Q4-2015,United Kingdom,63366.7316192,,,Q4-2015,Germany,48266.494058
Q4-2015,Italy,55948.156118,,,Q4-2015,France,47594.4790694
Q4-2015,China ,45822.9227901,,,Q4-2015,Italy,29985.033688299998
Q4-2015,Japan,43284.2334774,,,Q4-2015,Japan,25553.740845
Q1-2016,India,192401.76433687,164980.12780477,27421.636532099998,Q1-2016,China,345497.038274
Q1-2016,United States,161910.40924001002,134968.73141650998,26941.6778235,Q1-2016,United States,127087.3477664
Q1-2016,Spain,127893.8842267,86980.2118807,40913.672346,Q1-2016,Belgium,114159.7021585
Q1-2016,Netherlands,88850.01156760001,24176.4023016,64673.609266,Q1-2016,India,89379.313705
Q1-2016,France,81409.2874633,52142.3382473,29266.949216,Q1-2016,Netherlands,73777.458317
Q1-2016,South Africa,73640.65120339999,73121.7683804,518.882823,Q1-2016,United Kingdom,61380.9818362
Q1-2016,Brazil,57558.5024832,51167.487732199996,6391.014751,Q1-2016,France,58239.0184834
Q1-2016,China,43789.8830291,17563.274224099998,26226.608805,Q1-2016,Brazil,50062.785051
Q1-2016,Italy,40820.46711276,19493.63809076,21326.829022,Q1-2016,Germany,44921.00398
Q1-2016,Japan,34863.994649,0,34863.994649,Q1-2016,Italy,31063.685011
Q2-2016,India  ,402653.4817225,362906.3743048,39747.1074177,Q2-2016,China,493544.0597296
Q2-2016,United States ,235009.552537,224081.2628491,10928.2896879,Q2-2016,Netherlands,285722.9819735
Q2-2016,Spain ,215168.42834120002,181663.2613743,33505.166966900004,Q2-2016,United States,198956.0528253
Q2-2016,Netherlands,133252.1267533,123880.6156051,9371.5111481,Q2-2016,India,124857.2133856
Q2-2016,South Africa,119856.9350082,98233.3079326,21623.627075599998,Q2-2016,United Kingdom,119300.8597723
Q2-2016,Canada,86186.7232781,85813.40408,373.31919810000005,Q2-2016,Belgium,82399.4902783
Q2-2016,Indonesia,83674.81869239999,83658.2530427,16.565649699999998,Q2-2016,Germany,73596.6465801
Q2-2016,Germany,82568.9731423,24618.908707,57950.0644353,Q2-2016,Japan,60652.2208911
Q2-2016,France,72931.2740511,56750.312734,16180.9613171,Q2-2016,France,57773.675542699995
Q2-2016,Italy,42137.0467748,41053.0631005,1083.9836742999998,Q2-2016,United Arab Emirates,51759.01646
Q3-2016,India,436625.96013724,400507.64589504997,36118.314242190005,Q3-2016,China,478650.35748571996
Q3-2016,United States,308118.71343286,300079.86840821,8038.84502465,Q3-2016,Belgium,331256.66854297
Q3-2016,Spain,185357.63495569,32847.775659,152509.85929669,Q3-2016,Netherlands,299656.71165636
Q3-2016,France,181591.48653104002,19685.047816,161906.43871504,Q3-2016,United States,165476.75480429002
Q3-2016,Netherlands,132540.39173425,126081.63579093,6458.7559433199995,Q3-2016,India,121290.10039605999
Q3-2016,South Africa,123525.12437905,123237.30525861,287.81912044,Q3-2016,France,91292.63684747
Q3-2016,Indonesia,118413.27207753,118100.13379364999,313.13828388,Q3-2016,Brazil,90460.1004703
Q3-2016,United Kingdom,98657.19629123,97311.65353101,1345.54276022,Q3-2016,Germany,74483.51749525999
Q3-2016,Ivory Coast,71789.62118434,67126.40651348,4663.214670859999,Q3-2016,United Kingdom,62935.61153894
Q3-2016,Brazil,64879.369848,52473.782676,12405.587172,Q3-2016,Spain,45559.389139110004
Q4-2016,India,475644.091644537,445916.5700803,29727.521564237,Q4-2016,China,404130.210499334
Q4-2016,Netherlands,334222.63221068203,303700.07843690005,30522.553773781983,Q4-2016,Belgium,356381.37188141496
Q4-2016,United States,317210.597479151,304722.16850040003,12488.428978750977,Q4-2016,Netherlands,230033.905168483
Q4-2016,Spain,286779.435862676,210712.32502,76067.11084267602,Q4-2016,United States,205648.529762849
Q4-2016,South Africa,160350.684747238,160085.7059614,264.9787858380127,Q4-2016,India,113890.987967488
Q4-2016,France,158260.566454831,122534.9989212,35725.567533630994,Q4-2016,United Kingdom,101647.365659507
Q4-2016,Indonesia,113219.36042919,105764.01835669001,7455.3420725,Q4-2016,Germany,78634.375321788
Q4-2016,Sweden,105014.878319,105014.878319,,Q4-2016,Brazil,78024.954496
Q4-2016,Singapore,99216.78429822701,94750.3881825,4466.396115727005,Q4-2016,France,75091.192736955
Q4-2016,Ivory Coast,81260.16163553999,74003.326874,7256.834761539993,Q4-2016,Russia,38847.210702
Q1-2017,India,668552.62698896,620173.0819530899,48379.54503587402,Q1-2017,China,383914.952222215
Q1-2017,United States,416486.35322283,372882.12044653005,43604.23277630097,Q1-2017,Belgium,340198.399371708
Q1-2017,Spain,324875.57494685997,228837.7832765,96037.79167036102,Q1-2017,Netherlands,246917.404551624
Q1-2017,Netherlands,250185.17452713,217512.3722671,32672.80226003299,Q1-2017,United States,184454.614016957
Q1-2017,France,195654.74740328,162229.917155,33424.830248281,Q1-2017,India,103561.209026564
Q1-2017,South Africa,140030.02120351,139473.36150842998,556.659695078003,Q1-2017,France,95850.237494637
Q1-2017,Togo,107951.45577219,105588.949614,2362.5061581880036,Q1-2017,United Kingdom,95463.359979127
Q1-2017,Japan,78701.84635139999,0,78701.84635139999,Q1-2017,Germany,94418.13101297099
Q1-2017,Turkey,69143.49135767999,0,69143.491357676,Q1-2017,Latvia,80292.649780266
Q1-2017,China,63622.659968019994,45622.377301,18000.282667018997,Q1-2017,Brazil,54212.505306
Q2-2017,India,519702.84412286896,437862.54225,81840.30187287,Q2-2017,China,414744.74656690704
Q2-2017,Spain,374421.39188543,274627.3255428,99794.06634263,Q2-2017,Belgium,391220.27581848
Q2-2017,United States,317094.87946579,275404.444892,41690.43457379,Q2-2017,Netherlands,250780.49378579398
Q2-2017,Netherlands,241296.62260327,223269.5181976,18027.10440567,Q2-2017,United States,193844.7920813
Q2-2017,France,224881.86900074,159860.24308454,65021.6259162,Q2-2017,Italy,161525.89200874
Q2-2017,Italy,88442.07383588,80306.639182,8135.43465388,Q2-2017,Germany,129953.824150248
Q2-2017,Indonesia,107496.43303811,102410.45127768,5085.98176043,Q2-2017,France,113328.021410505
Q2-2017,Canada,90069.58204237,87590.269484,2479.31255837,Q2-2017,India,107412.831998793
Q2-2017,Togo,158148.13022043,156601.4680504,1546.66217003,Q2-2017,Russia,101280.4227944
Q2-2017,South Africa,137316.35663481,136913.837385,402.5192498,Q2-2017,Brazil,77590.08283
Q3-2017,India,623209.340221449,550883.12172101,72326.218500439,Q3-2017,China,522835.416710358
Q3-2017,United States,497516.043388533,457732.07408195,39783.969306583,Q3-2017,Belgium,306213.895169828
Q3-2017,Spain,355927.174176515,298733.51091229,57193.663264225,Q3-2017,United States,187428.671892306
Q3-2017,Netherlands,242787.68384392,220520.607713,22267.07613092,Q3-2017,Netherlands,179449.271151695
Q3-2017,France,225710.461896466,178176.863514,47533.598382466,Q3-2017,India,119328.700676551
Q3-2017,Indonesia,167403.62612333,162102.1889507,5301.43717262997,Q3-2017,United Kingdom,96629.695272748
Q3-2017,South Africa,162497.477174706,161500.64962345,996.827551255981,Q3-2017,Germany,79889.189578411
Q3-2017,Canada,149106.86363701,148909.4474255,197.41621151001,Q3-2017,France,67374.71100982
Q3-2017,United Kingdom,108764.334702052,107540.1770353,1224.157666752,Q3-2017,Spain,60513.6706982
Q3-2017,Italy,108268.207305724,100865.5381574,7402.66914832401,Q3-2017,Russia,54167.7762531
Q4-2017,India,615388.186133023,571544.55194311,43843.634189913,Q4-2017,China,465126.732212693
Q4-2017,United States,502218.327623884,488646.8854484,13571.442175484,Q4-2017,Belgium,191052.41122013
Q4-2017,Netherlands,412857.313756144,366224.25088325,46633.062872894,Q4-2017,United States,189360.758509542
Q4-2017,France,391449.057035151,319014.73186402,72434.325171131,Q4-2017,India,135447.584269363
Q4-2017,Spain,296182.196768912,241239.1845367,54943.012232212,Q4-2017,Netherlands,125238.475583144
Q4-2017,Canada,189329.741941301,189045.08709586,284.65484544104,Q4-2017,United Kingdom,110282.724267251
Q4-2017,South Africa,166413.822346618,166044.6452053,369.177141318024,Q4-2017,Germany,79840.80700763
Q4-2017,United Kingdom,136818.246428842,132654.9909658,4163.25546304201,Q4-2017,France,67926.19763125
Q4-2017,Indonesia,121448.08607299,119115.68243566,2332.40363732999,Q4-2017,Brazil,62465.76541143
Q4-2017,Sweden,108961.36697082,108961.36697082,0,Q4-2017,Italy,43336.982660888
Q1-2018,Netherlands,963474.628891574,567841.1243601999,395633.504531374,Q1-2018,China,530979.0218830591
Q1-2018,India,853697.785594444,776059.00163519,77638.78395925403,Q1-2018,Netherlands,305797.833716163
Q1-2018,Spain,391685.72169477696,318137.97114504996,73547.75054972699,Q1-2018,Belgium,266690.0111702
Q1-2018,United States,386927.330423935,368267.46982715005,18659.860596784973,Q1-2018,United States,163938.63297214
Q1-2018,France,297938.26885212405,235244.26248701,62694.006365114015,Q1-2018,India,157924.30849393702
Q1-2018,South Africa,196779.159481955,196247.17407889,531.9854030649719,Q1-2018,France,85540.22985417799
Q1-2018,Sweden,195337.080877,195337.080877,0,Q1-2018,Germany,76140.75779882699
Q1-2018,United Kingdom,145631.745355375,143186.48376806,2445.2615873150025,Q1-2018,Russia,73987.82831160001
Q1-2018,Indonesia,137872.92494448,133237.65046464998,4635.274479830017,Q1-2018,Brazil,61979.99158986699
Q1-2018,Italy,111495.194425198,102362.71970772,9132.474717477997,Q1-2018,Saudi Arabia,60385.173997606005
Q2-2018,India,722582.849252041,635248.8284835,87334.02076854101,Q2-2018,China,531550.838753533
Q2-2018,Netherlands,457633.09072287404,421279.9837282,36353.10699467401,Q2-2018,Netherlands,181000.808570164
Q2-2018,Spain,426072.071992802,372911.5562122,53160.51578060199,Q2-2018,Belgium,170888.14005353
Q2-2018,South Africa,359841.41835083003,359167.4514028,673.9669480300292,Q2-2018,India,145023.78171140602
Q2-2018,United States,306534.39989909995,303702.41017570003,2831.989723399963,Q2-2018,United States,141582.15510617598
Q2-2018,Italy,219886.509442251,214576.4929056,5310.016536651001,Q2-2018,Germany,70995.272739923
Q2-2018,France,214490.125632927,134805.153643,79684.971989927,Q2-2018,United Kingdom,59536.127627721
Q2-2018,Sweden,175029.038492,175029.038492,0,Q2-2018,Russia,56541.840753
Q2-2018,Brazil,152540.150474064,139381.333748,13158.816726063995,Q2-2018,Italy,55774.502846195
Q2-2018,Thailand,118914.86079968,90253.67994153,28661.180858149994,Q2-2018,France,53908.252408151
Q3-2018,India,764882.133631011,719169.12801407,45713.00561694104,Q3-2018,"Korea, South",1214486.70359658
Q3-2018,Spain,522123.901228152,463083.68978276,59040.21144539197,Q3-2018,China,591362.2711454659
Q3-2018,France,500309.25060387905,422523.41140524,77785.83919863903,Q3-2018,Netherlands,483183.64319489204
Q3-2018,South Africa,335281.117870045,334984.6195348,296.49833524499513,Q3-2018,Belgium,291671.703130732
Q3-2018,Netherlands,276367.564566308,260730.10183054002,15637.462735767975,Q3-2018,United States,224221.300467055
Q3-2018,Indonesia,256296.2332222,244164.69865729997,12131.534564900025,Q3-2018,India,154608.54133058302
Q3-2018,Brazil,226201.319559882,199047.53472595,27153.784833931975,Q3-2018,France,112648.88413350799
Q3-2018,United Kingdom,206319.816530557,204959.63260702,1360.1839235370178,Q3-2018,Latvia,94545.35287286999
Q3-2018,United States,201652.045746328,188007.01535072,13645.030395608002,Q3-2018,Germany,88446.040272554
